aback= आश्चरचकित होणे, थक्क होणे, दचकून जाणे
heartbreak= ह्दयभंग घडवून आनणारे , , |
heartbroken= ह्दय विदीर्ण झालेला , , |
heartburn= अपचनामुळे होणारी छातीतील जळजळ, , |
heartburning= असूया , , |
hearted= च्याप्रमाणे वृत्ती असलेला , , |
hearten= उल्हसित करणे, , |
heart failure= ह्दयाचे स्पंदन कार्य थांबण्याची किंवा बंद पडण्याची क्रिया , , |
heartfelt= हार्दिक, मान:पूर्वक, |
hearth= खोलीतील शेकोटीच्या खालची जमीन , , |
heartily= मनापासून , , |
heartland= एखादया राज्याचा किंवा देशाचा मध्यवर्ती प्रदेश किंवा अत्यंत महत्वाचा विभाग, , |
heartless= निष्ठुर , , |
heart-rending= ह्दयभेदक, , |
heart-searching= मनातील भावभावनांचे सुक्ष परीक्षण, , |
heartsease= मनःशांती, , |
heartsick= खिन्न, , |
heart-stricken= दु:खग्रस्त, , |
heartstrings= खोलवर असलेल्या उत्कट भावना, , |
heart-throb= ह्दयाचे स्पंदन, , |
heart-to-heart= मनमोकळी व प्रांजळ , , |
heart-warming= भावना हेलावणारे, , |
hearty= हार्दिक , ह्दय, |
heat= उष्णता, , |
heath= ओसाड जमीन , , |
heathen= अधर्मी , , |
heather= सदाहरित झुडूप, , |
heating= एखादया इमारत इ. ला उष्णता पुरवणारे, , |
heave= प्रयत्नपूर्वक वर उचलणे , , |
heaven= आकाश, , |
heavenly= स्वर्गाचा , स्वर्गातून अवतरनारा, |
heaven-sent= ईश्वरकृपेने , , |
heavenward= स्वर्गाच्या किंवा आकाशाच्या दिशेने , , |
heavenwards= स्वर्गाच्या किंवा आकाशाच्या रोखने, , |
heavily= खूप वजनाने , , |
heavy= जड, , |
heavy-duty= कसेही वापरले तारी चालेल असे दणकट, , |
heavy-handed= हेंगाडा, , |
heavy-hearted= खिन्न, उदास, |
heavy industry= अवजड यंत्रसामग्रीनिर्मितीचा धंदा, , |
heavy-laden= जड ओझे वाहणारा, , |
heavy metal= अवजड तोफा, , |
heavy set= आडव्या बांघ्याची व दणकट , , |
heavyweight= सरासरी वजनापेक्षा , , |
Hebe= यौवनदेवता, , |
Hebraic= हिब्रू भाषेचा किंवा हिब्रू लोकांचा किंवा हिब्रू संस्कृतीचा , , |
Hebrew= यहुदी , , |
heck= मरो! अशा अर्थी, , |
heck= नदीतील मासे पकडण्याची चौकट, , |
heckle= खोचून प्रश्न विचारणे, , |
hectare= 10000 चौ.मीटर चे मेट्रिक पद्धतीमधील परिणाम, , |
hectic= काफक्षयी, , |
hecto= एकराचे मेट्रिक माप, , |
hectograph= ग्लिसरीन लावून सारसाच्या पाटावर पुष्कळ प्रती काढण्याचे साधन , , |
hector= धमकावणे, अरेरावी करून घाबरवणे, |
heddles= कापड विनण्याच्या फणीतून जाण्यापूर्वी विनकामातील उभा धागा ज्या तारांमधून जातो त्या तारा, , |
hedge= झुडूपाचे कुंपण, , |
hedonism= सुख हेच अंतिम उद्दिष्ट असा सिदधांत , , |
heed= काळजीपूर्वक अवधान देणे , , |
heehaw= गाढवाचे ओरडणे, , |
heel= टाच, , |
hefty= दांडगा, सशक्त, |
hegemony= राज्यांच्या संघात किंवा सामाजिक गटांत एका राज्याचे किंवा एका सामाजिक वर्गाचे असलेले वर्चस्व, , |
heifer= कालवड, , |
heigh-ho= कंटाळा , निराशा, |
height= उंची, , |
heinous= भयंकर दृष्ट, , |
heir= कायदेशीर हक्कदार , उत्तराधिकारी, |
helical= नागमोडी , , |
helices= मळसुत्राकार रचना , , |
helicopter= हेलिकॉप्टर, , |
helioncentric= सूर्य केंद्रस्थानी असलेले , , |
heliograph= सूर्यप्रकाशाचे झोत परावर्तीत करून संदेश देणारे यंत्र, , |
heliotrope= लहान सुवासिक जांभळ्या फुलांचे फुलझाड, , |
helipad= हेलिकॉप्टर जमिनीवर उतरण्यासाठी व जमिनीवरून वर झेप धेण्यासाठी सोयीस्कर असा छोटासा भूप्रदेश , , |
heliport= हेलिकॉप्टर्ससाठी असलेला विमानतळ, , |
helium= ण जळणारा रंगहीन हलका सौरवायू, , |
helix= मळसुत्राकार रचना , , |
hell= पापी व्यक्तीचे मृत्युनंतरचे निवासस्थान, , |
Hellas= ग्रीस देशाचे पुरातन ग्रीक नाव, , |
hellbent= प्रबळ निर्धार असलेला, , |
hellcat= हडळ, , |
hellene= ग्रीक व्यक्ती, , |
Hellenic= ग्रीक लोक त्यांची कला संसकृती इ. संबंधी, , |
Hellenism= ग्रीक संसकृती, , |
hellfire= नरकयातना, , |
hellhole= अत्यंत वाईट, , |
hellion= आडदांड, , |
hellish= नरकासारखे दिसणारे , , |
hello= आश्चर्य दर्शवणारा, स्वागतदर्शक उदगार, |
helm= सुकाणू फिरवण्याचा दांडा किंवा चाक, , |
helmet= शिरस्त्राण, , |
helmsman= जहाजाचा सुकाणूधारक, , |
help= मदत करणे, , |
helper= मदतनीस, , |
helpul= मदत देणारा, , |
helping= एकाच वेळी वाढलेले अन्न , , |
helpless= असहाय्य , लाचार, |
helpline= अडचणीत सापडलेल्या लोकांना मदत करणारी दूरध्वनीसेवा, , |
helpmate= मदत करणारा सोबती , , |
helter-skelter= गडबड गोंधळात केलेले , , |
helve= एखादया हत्याराची मुठ, , |
hem= मुरड, , |
hem= संशय उपरोध व्यक्त करण्यासाठी किंवा लक्ष वेधण्यासाठी हं असा काढलेला आवाज, , |
hemal= रक्तासंबंधी, , |
he-man= पुरुषोत्तम, , |
hematite= लोहयुक्त खनिज, , |
hemi= अर्धा, , |
hemialgia= शरीराच्या एकाच बाजूला होणाऱ्या वेदना, , |
hemicycle= अर्धवर्तुळाकृती बांधकाम भिंत खोली इत्यादी, , |
hemiplegia= शरीराच्या एका बाजूला आलेली विकलता, , |
hemisphere= अर्धगोल, , |
hemistich= कवितेचा अर्धा चरण, , |
hemline= स्कर्टच्या खालच्या बाजूला लोंबणारी कडा, , |
hemlock= एक विषारी वनस्पती, , |
hemp= ताग अंबाडी इ. तंतू देणाऱ्या वनस्पती, , |
hemstitch= कापडाच्या कडेला शोभेसाठी घातलेली सुबक मुरड, , |
hen= कॉबडी, , |
henbane= एक विषारी वनस्पती, , |
hence= आतापासून पुढे, , |
henchman= विश्वासू अनुयायी , , |
hencoop= कोबाड्यासाठी असणारे खुराडे, , |
hendecagon= अकरा बाजूंची आणि अकरा कोनांची बहुभुजाकृत्ती, , |
hendecasyllable= अकरा अवयवी कविताचरण, , |
henhouse= कोंबड्यासाठी असणारे खुराडे, , |
henna= कातडे बोटांची नखे केस इ. रागवण्यासाठी असणाऱ्या रंगाचे मूळ द्रव्य , , |
hennery= कुक्कुटपालनासाठी असलेली जागा, , |
henotheism= अनेक देवतांपैकी एका देवतेची कुलस्वामिनी म्हणून केलेली पूजा, , |
henpeck= पतीला सतावणे, , |
hepatic= यकृताचा , , |
heptad= सात हि संख्या, , |
heptagon= सात बाजू व सात कोण असलेली बहुभुजाकृती, , |
heptahedron= सप्तप्रतलीय घनाकृती, , |
her= स्त्रीलीगी सर्वनामाची द्वितीय व षष्टी, , |
herald= एका राजाकडून दुसरया राजाकडे संदेश नेणारा राजदूत, , |
herb= औषधी वनस्पती, , |
herbaceous= वनौषधी जातीचा, , |
herbage= झाडपाला, गवत, |
herbal= वनौषधीसंबंधीचा, , |
herbarium= सुकवून ठेवलेल्या वनस्पतीचा उपयोग, , |
herbicide= निरुपयोगी वनस्पती नष्ट करण्यासाठी वापरले जाणारे रासायनिक द्रव्य, , |
herbivore= गवत व इतर वनस्पतींवर जगणारा प्राणी, , |
herbivorous= गवत झाडपाला यांवर जगणारा, , |
Herculean= प्रचंड मानसिक व शारीरिक सामर्थ्य, , |
Hercules= ग्रीक पुराणातील एक महान शक्तिशाली योद्धा, , |
herd= कळप, , |
herdic= पाठीमागून प्रवेशद्वार असलेली व दोन्ही बाजूंना बैठका असलेली छोटी घोडागाडी, , |
herdsman= कळप राखणारा, , |
here= येथे, , |
hereabout( s )= येथेच जवळपास, , |
hereafter= या काळानंतर , , |
hereby= याअन्वये, याच्यामुळे, |
hereditary= अणुवंशिक, वंशपरंपरेचा, |
heredity= अणुवंशिकता, , |
herein= यामध्ये , , |
hereof= याविषयी , , |
heresy= पाखंडी मत , , |
heretic= बंडखोर, , |
heretofore= आतापर्यत, , |
hereunder= याखालील, , |
hereupon= या क्षणाला , , |
herewith= याच्यासोबत , याप्रसंगी, |
heritable= वारसाहक्काने देण्यायोग्य , , |
heritage= वडिलोपार्जित मिळकत, वतन, |
hermaphrodite= उभयलिंगी स्त्री किंवा पुरुष , , |
Hermes= देवदेवतांचे संदेश पोचवणारा ग्रीक देव, , |
hermetic= हवाबंद, , |
hermit= एकांतवासी , संन्यासी, |
hermitage= पर्णकटी, , |
hernia= उदराच्या बाजूंवर आतड्यांचा भार पडून आलेली सूज, , |
hero= अलौकिक वीरपुरुष, , |
heroic= मर्दपणाचे, , |
heroics= वीररसात्मक काव्य, , |
heroin= अफूच्या अर्कापासून बनवलेले गुंगी आणणारे एक अत्यंत मादक द्रव्य, , |
heroine= वीरागना, , |
heroism= विलक्षण धैर्य शौर्य निर्भयता इ. गुण, , |
heron= लांब पायांचा एक बागळ्यासारखा पक्षी, , |
herpes= एक त्वचा रोग, , |
Herr= जर्मन व्यक्ती, , |
herring= उत्तर अटलांटिक महासागरातील एका जातीचा मासा, , |
hers= तिचा, , |
herself= ती स्वतः, , |
hertz= ध्वनिलहरी व रेडीओलहरींची कंपनसंख्या मोजण्याचे परिणाम, , |
hesitance= अनिश्चितता , , |
hesitant= घुटमळणारा , डळमळीत , |
hesitate= का कु करणे , , |
hesitation= द्विधामनस्थिती, , |
hessian= जाडेभरडे मजबूत तागाचे कपडे, , |
hetero= भिन्न विरुद्ध असा अर्थ दर्शवणारा जोडशब्द, , |
heterodox= अपारंपारीक , सुधारक, |
heterogeneous= बहुजिनसी , विविध विभिन्न, |
heteronym= दुसऱ्या शब्दासारखे स्पेलिंग असलेला परंतु उच्चार व अर्थ वेगळा असलेला शब्द, , |
heterosexual= भिन्नलिंगी व्यक्तीकडे आकृष्ट होणारी, , |
hetup= उताविळ, , |
heuristic= शिकणारयाने स्वत:च सर्व शोधून काढावे असे प्रतिपादन करणाऱ्या किंवा स्वघ्याय, , |
hew= घाव घालून कापणे, , |
hex= जादूची मोहिनी , , |
hex( a )= सहा, सहा नी बनलेला, |
hexad= सहा वस्तूची मालिका किंवा गट, , |
hexagon= सहा बाजू व सहा कोण असलेली घनाकृती, , |
hexagram= नियमित श्त्कोनाच्या बाजू वाढवून मिळणारी तारकाकृती, , |
hexahedron= सहा प्रतले असलेली घनाकृती, , |
hexangular= सहा गणयुक्त अशी काव्यपंक्ती, , |
hey= उस्तुकता , आश्चर्य, |
heyday= एन बहर, , |
hi= अहो ! अरे! , , |
hiatus= मोकळी राहिलेली , , |
hibernal= हिवाळ्याचे , , |
hiberbnate= झोपेसारख्या अवस्थेत हिवाळा घालवणे, , |
hiccup= उचकी, , |
hick= गांवढळ व्यक्ती, , |
hid= लपणे, दडपणे, |
hidden= झाकलेले , लपवलेले, |
hide= लपणे, दडपणे, |
hide= जनावराचे कातडे, , |
hideaway= गुप्त ठिकाण, , |
hidebound= संकुचित वृत्तीचा, , |
hideous= अत्यंत कुरूप व भेसूर , , |
hide-out= गुप्त आश्रयस्थान , , |
hiding= खरपूस मार, , |
hiding= लपणे, दडी, |
hierarchy= धर्मसत्ता किंवा संघटना इ.मधील लोक अधिकारी इ.च्या महत्त्वानुसार विविध श्रेणी वा स्तर पदक्रम श्रेणीबंध, , |
hieroglyph= चित्राक्षरलेखन , , |
hi-fi= आहे तसा तंतोतंत , , |
higgledy-piggledy= पूर्णपणे अस्ताव्यस्त , , |
high= उंच, , |
high altar= चर्चमधील मुख्य वेदी , , |
highball= उंच चषकातून दिलेले सोडावाटर व बर्फमिश्रित मद्य, , |
highbinder= सशस्त्र टोळीतील गुंड, , |
highborn= उच्चकुलीन , , |
highboy= एक उंच अशी कप्पे असलेली पेटी, , |
highbred= उच्चकुलीन , , |
highbrow= व्यासंगी , , |
high-class= उत्कृष्ट दर्जाचे , , |
high comedy= सदभिरुचिपूर्ण, करमनुक किंवा विनोदी नाटक, |
high command= सैन्यदल प्रमुख व सैन्यदलातील इतर उच्चाधिकारी, , |
high commission= उच्च आयुक्तांचे कार्यालय, , |
high commissioner= उच्च आयुक्त , , |
High Court= उच्च न्यायालय, , |
high day= उस्त्वाचा दिवस, , |
higher= अधिक उंच, , |
higher-up= वरिष्ठ दर्जाची , , |
highfalutin= शब्दावडंबर असलेले , अतिशय अलंकारप्रचुर, |
high fidelity= अगदी तंतोतंत उमटवणारा , , |
high-five= हात वार उचावून एकमेकाच्या हातावर टाळी देण्याची कृती, , |
high-flown= शब्दावडंबर असलेले , , |
high-flying= फार महत्वाकांक्षी, , |
high-grade= उच्च दर्जाचा, , |
high-handed= अरेरावी ना वागणारा, , |
high-hat= शिष्ट व उर्मट, , |
high-heels= उंच ताचाचे बूट , , |
highjack= एखादया देशाच्या सरकारकडून आपली मागणी मान्य करून घेण्याकरिता वाहन इ. चे अपहरण करणे, , |
high jinks= मौजमजा, , |
high jump= उंच दांडीवरून उडी मारण्याची स्पर्धा, , |
high-keyed= कर्णकटू, , |
highland= डोंगराळ प्रदेश, , |
high-level= उच्चस्तरीय, , |
highlife= उच्च दर्जाची राहणी , , |
highlight= छायाचित्रातील जास्त प्रकाशमय भाग, , |
highly= फार अतिशय, , |
high-minded= थोर मनाचा , घ्येयवादी, |
Highness= उंची , , |
highness= काही राजघराण्यातील व्यक्तीच्या नावांपूर्वी लावण्याची उपाधी, , |
high-pitched= कर्कश, , |
high places= महत्वाची व उच्चस्थानीय अधिकारपदे, , |
high-powered= अत्यंत उस्ताही व जोशपूर्ण , कर्तुत्ववान, |
high-priced= अतिशय महाग , , |
high priest= मुख्य धर्मोपदेशक , , |
high profile= सर्वाचे लक्ष वेधून घेणारा , , |
high road= मुख्य रस्ता, , |
high school= माध्यमिक शाळा, , |
high seas= कोणत्याही एका राष्टाची अधिसत्ता नाही असा पृथ्वीवरील सागर व महासागरांचा भाग, , |
high season= ज्या कालखंडात धंदा सर्वात तेजीत असतो व किमती सर्वात जास्त असतात असा वर्षातील कालखंड, , |
high-spirited= साहसी , उस्ताही, |
high spirits= आनंद, , |
high spot= एखादया कार्यक्रमातील अत्यंत महत्वपूर्ण भाग , , |
high street= नगरातील प्रमुख रस्ता, , |
high-strung= अत्यंत संवेदनाशील , , |
high tea= चहा व भरपूर खाद्यपदार्थयुक्त सायंकाळचे जेवण, , |
high tech= अत्याधुनिक साधनसामुग्रीचा , , |
high-tension= उच्च विद्युतदाबयुक्त, , |
high tide= उधाणाची भरती, , |
high time= अगदी उशिराची वेळ , , |
highway= हमरस्ता , , |
highwayman= वाटमारया, , |
hijack= एखादया देशाच्या सरकारकडून आपली मागणी मान्य करून घेण्याकरिता वाहन इ. चे अपहरण करणे, , |
hike= खूप मोठ्या अंतराची मौजेखातर केलेली पायरपेट, , |
hilarious= खूप आनंदी, गमतीचे, |
hilarity= हसत खिदळत उपभोगलेला आनंदी, , |
hill= लहान डोंगर , , |
hillock= लहान टेकडी, टेपूर, |
hilly= डोंगराळ , , |
hillbilly= दूरवरच्या खेड्यातील असंस्कृत , , |
hilt= तलवार किंवा कट्यारीची मुठ, , |
him= या शब्दाची द्वितीय विभक्ती, , |
himself= तो स्वत:, , |
hind= मागचा , , |
hind= तांबड्या रंगाची हरिणी, , |
hinder= प्रतिबंधक करणे , थोपवणे, |
hinder= मागील , , |
hindmost= सर्वात मागचा , , |
hindquarters= चतुष्पाद प्राण्याच्या शरीराचा मागचा भाग, , |
hindrance= अडथळा , अटकाव, |
hindsight= पश्चातबुधी, , |
hinge= बिजागर, , |
hinny= घोडा व गाढवी याच्यापासून जन्मलेले पिल्लू, , |
hint= सूचना , , |
hinterland= पश्र्वप्रदेश , , |
hip= नितंब , , |
hip= चा विजय असो अशा आशयाचे उत्तेजनार्थ उदगार, , |
hip= संगीत , , |
hippie= प्रस्थापित चालीरीतींविरुद्ध वागणाऱ्या एका गटापैकी कोणीही, , |
hippo= hippopotamus चे संक्षिप्त रूप, , |
Hippocratic oath= डॉक्टरांनी पेशा स्वीकारताना घ्यायची शपथ, , |
hippodrome= अश्व किंवा रथशर्यतीचे मैदान, , |
hippopotamus= पाणघोडा, , |
hippy= प्रस्थापित चालीरीतींविरुद्ध वागणाऱ्या एका गटापैकी कोणीही, , |
hipster= कमरेऐवजी नितंबापासून लोंबकळणे, , |
hire= भाड्याने अगर मोलाने कामाला लावणे, , |
hireling= भाडोत्री व्यक्ती, , |
hire-purchase= हप्तेबंदीने वस्तू विकत घेण्याची पद्धत, , |
hirsute= केसाळ, , |
his= या सर्वनामाची षष्ठी , त्याचा, |
Hispanic= स्पेनचा, , |
hispid= ताठ केसांनी अच्छादलेला, , |
hiss= फूस असा आवाज, , |
hist= ऐका शांत व्हा शांत राहा असे सांगण्यासाठी काढलेला शू असा ध्वनी, , |
histology= शरीरातील पेशींच्या सूक्ष्म रचनांचे शास्त्र, , |
historian= इतिहासकार, , |
historic= ऐतिहासिक, , |
historical= ऐतिहासिक , , |
historicity= ऐतिहासिक अस्सलपणा , , |
historiography= इतिहासलेखन, , |
history= भूतकालीन घटकांची क्रमवार नोंद , , |
histrionic= नाटकविषयासंबंधीचा, , |
hit= तडाखा हानने, , |
hit-and-miss= नियोजनबद्ध रीतीने न केलेले, , |
hit-and- run= अपघात करून पळून जाणारा, , |
hitch= हिसकवने , हिसका देणे, |
hitchhiker= येणाऱ्या जाणाऱ्या मोटारमालकांना विनंती करून त्याच्या गाडीतून प्रवास करणारी व्यक्ती, , |
hither= येथे व तेथे , इतस्तर, |
HIV= शरीराच्या नैसर्गिक प्रतिकारकशक्ती हल्ला करून ती निकामी करणारे सूक्ष्म विषाणू, , |
hive= माधुमाशिकापेटी, , |
hives= अंगावर उठणाऱ्या पित्ताच्या गाठी, , |
h'm= संशय , , |
ho= आनंद , , |
hoar= hoar frost चे संक्षिप्त रूप, , |
hoard= गुप्त साठा , अपसंचय, |
hoarding= इमारत बांधली जात असता तिच्याभोवती बांधले जाणारे कुंपण, , |
hoar frost= थंडीणे गोठल्यामुळे गवत पाने, , |
hoarse= घोगरा आणि कर्णकटू, , |
hoary= करडे किंवा पांढरे , , |
hoax= फसगत , , |
hob= शेगडीच्या वरचा भांडे गरम करणारा सपाट भाग किंवा त्याच्या बाजूला तवा व बर्नर यांनी युक्त असा एक सपाट भाग, , |
hobble= लंगडत लंगडत टाकणे , , |
hobby= छंद आवडता विषय, , |
hobbyhorse= जत्रेतील फिरत्या चाकावरील घोडा , , |
hobgoblin= कुरूप , , |
hobnail= जाड डोक्याचा खिळा, , |
hobnob= समाजात मिसळणे, घनिष्ठ संबंध ठेवणे, |
Hobson's choice= देऊ केलेले घेण्याशिवाय गत्यंतर नाही , , |
hock= जनावरांच्या मागच्या पायाचा घोटा, , |
hockey= हॉकीचा खेळ, , |
hocus-pocus= फसवणूक बनवाबनवि, , |
hod= विटा रेती, , |
hoe= फावडे, , |
hog= डुक्कर, , |
hoggish= लोभी व स्वार्थी , अधाशी, |
Hogmanay= नववर्षसंध्या, , |
hogwash= निरथक, , |
ho-ho= अश्च्यार्य , हेटाळणीयुक्त, |
hoick= झटकन वर येणे, उचलले जाने, |
hoi polloi= सर्वसामान्य जनता, , |
hoist= उचलणे, , |
hoity-toity= शेखी मिळवणारा, , |
hokum= नाटक , , |
hold= डेकच्या खाली माल ठेवण्यासाठी असलेली जहाजावरील जागा, , |
hold= धरणे, , |
holdoll= कपडे, वळकटी, |
holder= एखाद्या व्यक्तीला किंवा वस्तूला आधार देणारी, , |
holdfast= घट्ट पकड, , |
holding= धारण जमीन , करारानुसार ताब्यातअसलेली, |
hold-up= विलंब, , |
hole= भोक, , |
holiday= सुट्टीचा दिवस, , |
holier-than-thou= इतरांपेक्षा स्वतःला नैतिकदृष्ट्या अधिक चांगले मानणारा, , |
holiness= पावित्र्य, , |
holism= साकल्यवाद, , |
holistic= सर्वकष स्वरूपाचा, , |
hollow= पोकळी, खळगा, |
holly= सदाहरित चमकदार पानाचे , , |
hollyhock= बागेत वाढणारे , विविध तेजस्वी रंगाची येणारी एक उंच काटेरी झाड, |
Hollywood= अमेरिकेच्या संयुक्त संस्थानातील चित्रपट उदयोग, , |
holocaust= युद्ध,आग यामुळे झालेली भयंकर हानी, , |
hologram= त्रिमितीचा परिणाम साधणारे छायाचित्रण, , |
holograph= लेखकाने स्वहस्ताक्षरात लिहिलेले पुस्तक, , |
holster= पिस्तुलाची कातडी पिशवी, , |
holy= पवित्र , , |
holystone= जहाजावरील लाकडी जमीन घासण्यासाठी वापरला जाणारा मऊ दगड, , |
homage= आदर, आदरांजली, |
home= ज्या ठिकाणी आपण राहतो ती जागा, , |
homebird= नेहमी घरात बसून राहणारा, , |
homeboy= स्वतःच्या शहरातील किंवा विभागातील तरुण, , |
homebred= घरगुती, , |
homecoming= स्वगृही पुनरागमन किंवा घराकडे परतणे, , |
home economics= गृह्व्यवस्थापणाचे अर्थशास्त्र, , |
home-front= युद्धप्रसंगी घरी असणारी माणसे, , |
home ground= परिचयाचे क्षेत्र किंवा विषय, , |
home-grown= देशी , , |
Home Guard= नागरी संरक्षणव्यवस्था राखणारे सैन्यदल, , |
homeland= जन्मभूमी, , |
homeless= घुह्हीन, , |
homelike= घराच्यासारखा, , |
homely= साधा , , |
home-made= घरी लेलेले, घरगुती, |
homeopathy= |, , |
home page= जागतिक प्रसारमाध्यमाद्वारे दिलेली एखाद्या संघटनेची किंवा व्यक्तीची प्रास्ताविक , , |
Homer= ग्रीक महाकवी, होमर, |
home rule= स्थानिक स्वराज्य, , |
homesick= घराची ओढ लागलेला, , |
homespun= घरीच तयार केलेले कपडे, , |
homestead= घर, , |
homethrust= अत्यंत अचूकपणे जाऊन भिडणारा, , |
home truth= दुसर्याने एखाद्याला जाणीव करून दिलेले कटू सत्य , , |
homewards( s )= घराकडे, , |
homework= विद्यार्थ्याने करावयाचा गृहपाठ, , |
homey= घरासारखा, घरगुती, |
homicidal= मनुष्यावधासंबंधी, , |
homicide= मनुष्यवध, , |
homiletic= धार्मिक किंवा नैतिक उपदेशासंबंधी, , |
homily= प्रवचन, , |
homing= फार दूरवरून प्रवास करून परत नेमके घरी येण्याचे चातुर्य असलेला, , |
hominoid= मानवासारखा दिसणारा, , |
hominy= मक्याच्या राव्याची खीर, , |
homo= एकच , सारखा, |
homo= समलिंग विषयवासना असणारी व्यक्ती, , |
homoeopath= होमिओपॅथीचा उपयोग करणारे वैद्य, , |
homoeopathy= समचिकित्सा पद्धत, , |
homogeneity= एकजिनसीपणा, समानता, |
homogeneous= एकजिनसी, , |
homogenize= एकजिनसी करणे , एकजीव , |
homograph= सारखे स्पेलिंग असलेल्या परंतु भिन्न अर्थाच्या किंवा उच्चाराच्या शब्दापैकी एक शब्द, , |
homologus= समजातीय , समधर्मीय, |
homology= समधर्मात , साजातीयता, |
homonym= उच्चार व स्पेलिंग सारखे असलेल परंतु भिन्न अर्थ दर्शवणारा शब्द, , |
homophobia= समलिंगी विषयवासना असणाऱ्याविषयी वाटणारा तिटकारा किंवा भीती, , |
homophone= एखाद्या शब्दाच्या उच्चारासारखा उच्चार असलेला , , |
homosexual= समलिंगी व्यक्तीबद्दल वैषयिक आकर्षण असणारा, , |
hone= नीसना, , |
honest= खरा , , |
honesty= प्रामाणिकपणा , सचोटी, |
honey= मध, , |
honeybee= मधमाशी, , |
honeycomb= मधमाश्यांनी बांधलेले मधाचे पोळे, , |
honeydew= मध्यबिंदू , , |
honeyed= मधासारखे मधुर, , |
honeymoon= नवपरीनितानी घरापासून दूर घालवण्याच्या सुट्ट्या, , |
honeysuckle= सुवासिक पिवळा किंवा लालसर फुले येणारा वेल, , |
honk= रानटी हसीचा आवाज, , |
honorarium= सन्मानवेतन, मानधन, |
honorary= मान म्हणून दिलेला , , |
honorific= आदरार्थी योजलेला , , |
honour= आदर, , |
honourable= आदरणीय, , |
hooch= निकृष्ठ दर्जाची, गावठी दारू, |
hood= डोके व मान यांचे आच्छादन, , |
hood= नामे तयार करण्यासाठी उपयोग, , |
hoodlum = मवाली, , |
hoodoo= दुर्दैव ओढून आणणारी व्यक्ती, , |
hoodwink= फसवणे, गंडवणे, |
hoof= गाय , , |
hoo-ha= गोंगाट, वादग्रस्तता, |
hook= आकडा, , |
hook= आकड्याने अडकवणे किंवा अडकवला जाने, , |
hooked= आकड्यासारखा वाकडा , , |
hook( e )y= शाळा चुकवून , , |
hook-up= टी व्ही , संगणक, |
hookworm= आतड्यांना चिटकून राहणारा जंत, , |
hooligan= दांडगाई करणारा तरुण , , |
hoop= पिंप, , |
hoop= हूप असा आवाज येणे, , |
hoopla= मांडलेल्या बक्षिसावर कडे फेकून कड्यात आलेल्या वस्तू जिंकण्याचा एक खेळ, , |
hooray= आनंद , सहमती, |
hoot= घुबडाचा घुत्कात, , |
hooter= भोंगा, , |
hoover= खोली , , |
hooves= hoof शब्दाचे अ.व रूप, , |
hop= एका पायावर उड्या मारता चालणे, , |
hope= आशा किंवा अपेक्षा, , |
hopeful= आशावादी, , |
hopeless= निराशाजनक, , |
hopper= टूनटून उडी मारणारी व्यक्ती किंवा वस्तू, , |
horde= भटकी टोळी किंवा जमात, , |
horizon= क्षितीज, , |
horizontal= क्षितिजाला समांतर, , |
hormone= शरीरांच्या अवयवाना चेतना देणारा काही शरीरग्रथिपासून निघणारा स्राव, , |
horn= प्राण्यांच्या डोक्यावरील शिंग, , |
hornet= गांधीलमाशी, , |
hornpipe= तुतारी सारखा होर्नपाईप, , |
horny= शिंगासारखा कठीण , टणक, |
horology= घड्याळे बनविण्यासाठी व वेळ मोजण्याची कला, , |
horoscope= जन्मकुंडली , , |
horoscopy= जन्मकुंडली तयार करण्याची विद्या, , |
horrendous= धडकी भरणारा, , |
horrible= भीतीदायक, भीषण, |
horrid= भीषण                 निष्ठुर, , |
horrific= धडकी भरणे, , |
horror= अत्यंत किळस किंवा भय, , |
hors d'oeuvre= भोजन्पुर्वक दिला जाणारा क्षुधोत्तेजक खाद्यपदार्थ , , |
horse= घोडा, , |
horse around= धांगडधिंगा करण्यात वेळ घालवणे, , |
horseback= घोड्याची पाठ', , |
horsebox= घोड्यांची णे आण करणारा रेल्वेचा डबा, , |
horseflesh= घोड्याचे मास, , |
horsefly= घोड्माशी, , |
horsehair= घोड्याच्या आयाळीचा किंवा शेपटीचा केस, , |
horse laugh= मोठे , दणदणीत हास्य, |
horseman= घोडेस्वार, , |
horseplay= धुडघूस, , |
horsepower= इंजिनाची शक्ती मोजण्याचे परिमाण , , |
horse race= घोड्याची शर्यत, , |
horse sense= सर्वसामान्य ज्ञान, व्याव्हारज्ञान, |
horseshoe= घोड्याचा नाल, , |
horse trading= सौदेबडी, , |
horsewhip= घोड्यांना मारण्याचा चाबूक, , |
horsy= घोड्याशी संबंध असलेला , , |
hortative= आग्रह करणारा, , |
horticulture= उद्यानविद्या, , |
hose= रबरी नळी, , |
hose= पायमौजे, , |
hosier= पायमोजे , , |
hosiery= पायमोजे , , |
hospice= आजारी , , |
hospitable= आदरातीत्थ करणारा, अगत्यशील, |
hospital= रुग्णालय, , |
hospitality= आतिथ्यशीलता, आदरातिथ्य, |
hospitalize= रुग्णालयात दाखल करणे, , |
host= यजमान , पाहुण्यांचे आतिथ्य करणारा, |
host= झुंड , , |
hostage= ओलीस ठेवलेली व्यक्ती, , |
hostel= छात्रालय , , |
hostess= यजमानीण, , |
hostile= विरोधी, , |
hostility= शत्रुत्व, संघर्ष, |
